Transaction_ID,Customer_ID,Customer_Segment,Product_Category,Product_Name,Base_Price,Margin_Pct,Discount_Applied_Pct,Store_Region,Sales_Volume,Customer_Affinity_Score
TX_VAR_1001,CUST_2001,"High-Value VIP Loyalists","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"South Region",43,0.76
TX_VAR_1002,CUST_2002,"Bargain Hunters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"East Region",14,0.88
TX_VAR_1003,CUST_2003,"Tech & Trendsetters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"West Region",16,0.98
TX_VAR_1004,CUST_2004,"Seasonal Home Organizers","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"Central Region",19,0.75
TX_VAR_1005,CUST_2005,"Urban Fitness Enthusiasts","Electronics","Pro Performance Smartwatch",240,0.52,15,"North Region",27,0.85
TX_VAR_1006,CUST_2006,"High-Value VIP Loyalists","Footwear","Apex Trail Running Shoes",150,0.48,25,"South Region",23,0.94
TX_VAR_1007,CUST_2007,"Bargain Hunters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"East Region",46,0.92
TX_VAR_1008,CUST_2008,"Tech & Trendsetters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"West Region",15,0.97
TX_VAR_1009,CUST_2009,"Seasonal Home Organizers","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"Central Region",42,0.91
TX_VAR_1010,CUST_2010,"Urban Fitness Enthusiasts","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"North Region",13,0.92
TX_VAR_1011,CUST_2011,"High-Value VIP Loyalists","Electronics","Pro Performance Smartwatch",240,0.52,15,"South Region",48,0.82
TX_VAR_1012,CUST_2012,"Bargain Hunters","Footwear","Apex Trail Running Shoes",150,0.48,25,"East Region",48,0.93
TX_VAR_1013,CUST_2013,"Tech & Trendsetters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"West Region",41,0.87
TX_VAR_1014,CUST_2014,"Seasonal Home Organizers","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"Central Region",43,0.88
TX_VAR_1015,CUST_2015,"Urban Fitness Enthusiasts","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"North Region",48,0.73
TX_VAR_1016,CUST_2016,"High-Value VIP Loyalists","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"South Region",38,0.92
TX_VAR_1017,CUST_2017,"Bargain Hunters","Electronics","Pro Performance Smartwatch",240,0.52,15,"East Region",47,0.81
TX_VAR_1018,CUST_2018,"Tech & Trendsetters","Footwear","Apex Trail Running Shoes",150,0.48,25,"West Region",13,0.73
TX_VAR_1019,CUST_2019,"Seasonal Home Organizers","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"Central Region",22,0.74
TX_VAR_1020,CUST_2020,"Urban Fitness Enthusiasts","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"North Region",11,0.82
TX_VAR_1021,CUST_2021,"High-Value VIP Loyalists","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"South Region",36,0.96
TX_VAR_1022,CUST_2022,"Bargain Hunters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"East Region",46,0.79
TX_VAR_1023,CUST_2023,"Tech & Trendsetters","Electronics","Pro Performance Smartwatch",240,0.52,15,"West Region",23,0.79
TX_VAR_1024,CUST_2024,"Seasonal Home Organizers","Footwear","Apex Trail Running Shoes",150,0.48,25,"Central Region",34,0.76
TX_VAR_1025,CUST_2000,"Urban Fitness Enthusiasts","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"North Region",30,0.96
TX_VAR_1026,CUST_2001,"High-Value VIP Loyalists","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"South Region",22,0.73
TX_VAR_1027,CUST_2002,"Bargain Hunters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"East Region",17,0.76
TX_VAR_1028,CUST_2003,"Tech & Trendsetters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"West Region",39,0.74
TX_VAR_1029,CUST_2004,"Seasonal Home Organizers","Electronics","Pro Performance Smartwatch",240,0.52,15,"Central Region",42,0.93
TX_VAR_1030,CUST_2005,"Urban Fitness Enthusiasts","Footwear","Apex Trail Running Shoes",150,0.48,25,"North Region",25,0.77
TX_VAR_1031,CUST_2006,"High-Value VIP Loyalists","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"South Region",23,0.91
TX_VAR_1032,CUST_2007,"Bargain Hunters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"East Region",43,0.74
TX_VAR_1033,CUST_2008,"Tech & Trendsetters","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"West Region",26,0.79
TX_VAR_1034,CUST_2009,"Seasonal Home Organizers","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"Central Region",27,0.74
TX_VAR_1035,CUST_2010,"Urban Fitness Enthusiasts","Electronics","Pro Performance Smartwatch",240,0.52,15,"North Region",45,0.9
TX_VAR_1036,CUST_2011,"High-Value VIP Loyalists","Footwear","Apex Trail Running Shoes",150,0.48,25,"South Region",21,0.97
TX_VAR_1037,CUST_2012,"Bargain Hunters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"East Region",44,0.84
TX_VAR_1038,CUST_2013,"Tech & Trendsetters","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"West Region",38,0.91
TX_VAR_1039,CUST_2014,"Seasonal Home Organizers","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"Central Region",27,0.98
TX_VAR_1040,CUST_2015,"Urban Fitness Enthusiasts","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"North Region",34,0.78
TX_VAR_1041,CUST_2016,"High-Value VIP Loyalists","Electronics","Pro Performance Smartwatch",240,0.52,15,"South Region",27,0.81
TX_VAR_1042,CUST_2017,"Bargain Hunters","Footwear","Apex Trail Running Shoes",150,0.48,25,"East Region",10,0.97
TX_VAR_1043,CUST_2018,"Tech & Trendsetters","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"West Region",18,0.85
TX_VAR_1044,CUST_2019,"Seasonal Home Organizers","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"Central Region",18,0.88
TX_VAR_1045,CUST_2020,"Urban Fitness Enthusiasts","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"North Region",40,0.77
TX_VAR_1046,CUST_2021,"High-Value VIP Loyalists","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"South Region",46,0.84
TX_VAR_1047,CUST_2022,"Bargain Hunters","Electronics","Pro Performance Smartwatch",240,0.52,15,"East Region",17,0.85
TX_VAR_1048,CUST_2023,"Tech & Trendsetters","Footwear","Apex Trail Running Shoes",150,0.48,25,"West Region",32,0.79
TX_VAR_1049,CUST_2024,"Seasonal Home Organizers","Apparel","UltraWarm Waterproof Winter Parka",280,0.55,15,"Central Region",45,0.92
TX_VAR_1050,CUST_2000,"Urban Fitness Enthusiasts","Beauty & Care","Hydrating Botanical Skincare Bundle",78,0.65,20,"North Region",32,0.74
TX_VAR_1051,CUST_2001,"High-Value VIP Loyalists","Home Goods","Ergonomic Mesh Executive Chair",210,0.42,25,"South Region",29,0.77
TX_VAR_1052,CUST_2002,"Bargain Hunters","Outdoor Gear","All-Weather 4-Person Camping Tent",320,0.5,20,"East Region",44,0.9
